gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
JAŁ.HI;jał88owiec pospolity;Juniperus communis;;538;NA;NA;NA;NA;NA
JAŁ.TM;jałowiec pospolity;Juniperus communis;;556;NA;NA;NA;NA;NA
JAŁ.N;jałowiec nadbrzeżny;Juniperus conferta;;542;NA;NA;NA;NA;NA
JAŁ.P;jałowiec pestkowaty;Juniperus drupacea;;543;NA;NA;NA;NA;NA
JAŁ.G;jałowiec grecki;Juniperus excelsa;;536;NA;NA;NA;NA;NA
JAŁ.PL.DG;jał88owiec pł88ożący;Juniperus horizontalis;;546;NA;NA;NA;NA;NA
JAŁ.PL.RP;jał88owiec pł88ożący;Juniperus horizontalis;;548;NA;NA;NA;NA;NA
JAŁ.PL.BC;jał88owiec płożący;Juniperus horizontalis;;545;NA;NA;NA;NA;NA
JAŁ.PL;jałowiec płożący;Juniperus horizontalis;;544;NA;NA;NA;NA;NA
JAŁ.PL.MO;jałowiec płożący;Juniperus horizontalis;;547;NA;NA;NA;NA;NA
JAŁ.PL.WT;jałowiec płożący;Juniperus horizontalis;;549;NA;NA;NA;NA;NA
JAŁ.Z;jałowiec zachodni;Juniperus occidentalis;;560;NA;NA;NA;NA;NA
JAŁ.K;jałowiec kolczasty;Juniperus oxycedrus;;539;NA;NA;NA;NA;NA
JAŁ.GK;jałowiec grubokory;Juniperus pachyphloea;;537;NA;NA;NA;NA;NA
JAŁ.R;jałowiec rozesłany;Juniperus procumbens;;550;NA;NA;NA;NA;NA
JAŁ.S;jałowiec sztywny;Juniperus rigida;;551;NA;NA;NA;NA;NA
JAŁ.SA.BD;jałowiec sabiński  (sawina);Juniperus sabina;;553;NA;NA;NA;NA;NA
JAŁ.SA.T;jałowiec sabiński  (sawina);Juniperus sabina;;554;NA;NA;NA;NA;NA
JAŁ.SA;jałowiec sawina;Juniperus sabina;;552;NA;NA;NA;NA;NA
JAŁ.SK;jałowiec skalny;Juniperus scopulorum;;555;NA;NA;NA;NA;NA
JAŁ.Ł;jałowiec łuskowaty;Juniperus squamata;;540;NA;NA;NA;NA;NA
JAŁ.Ł.BC;jałowiec łuskowaty;Juniperus squamata;;541;NA;NA;NA;NA;NA
JAŁ.W;jałowiec wirginijski;Juniperus virginiana;;557;NA;NA;NA;NA;NA
JAŁ.W.GO;jałowiec wirginijski;Juniperus virginiana;;558;NA;NA;NA;NA;NA
JAŁ.W.S;jałowiec wirginijski;Juniperus virginiana;;559;NA;NA;NA;NA;NA
KLM.S;kalmia szrokolistna;Kalmia latifolia;;648;NA;NA;NA;NA;NA
ZŁT.J;złotlin japoński;Kerria japonica;;1059;NA;NA;NA;NA;NA
KER.JA.PL;złotlin japoński;Kerria japonica Pleniflora;;635;NA;NA;NA;NA;NA
KIK.ZOS;kiksja zgiętoostrogowa;Kickxia spuria (L.) Dumort.;;NA;NA;NA;NA;NA;NA
ZŁK.A;złotokap  alpejski;Laburnum alpinum;;1057;NA;NA;NA;NA;NA
ZŁK;złotokap pospolity;Laburnum anagyroides;;1056;NA;NA;NA;NA;NA
ZŁK.W;złotokap  Waterera;Laburnum watereri;;1058;NA;NA;NA;NA;NA
MD.CZ;modrzew Czekanowskiego;Larix czekanowskii;;727;SO;1;1;SO1;#DEB887
MD.CZ;modrzew Czekanowskiego;Larix czekanowskii;;727;SO;1;2;SO2;#DC9F63
MD.CZ;modrzew Czekanowskiego;Larix czekanowskii;;727;SO;1;3;SO3;#D68640
MD.CZ;modrzew Czekanowskiego;Larix czekanowskii;;727;SO;1;4;SO4;#D68640
MD.K;modrzew europejski;Larix decidua;;732;SO;1;1;SO1;#DEB887
MD.K;modrzew europejski;Larix decidua;;732;SO;1;2;SO2;#DC9F63
MD.K;modrzew europejski;Larix decidua;;732;SO;1;3;SO3;#D68640
MD.K;modrzew europejski;Larix decidua;;732;SO;1;4;SO4;#D68640
LAR.EU.FA;modrzew europejski;"Larix decidua ""Fastigiata""";;663;SO;1;1;SO1;#DEB887
LAR.EU.FA;modrzew europejski;"Larix decidua ""Fastigiata""";;663;SO;1;2;SO2;#DC9F63
LAR.EU.FA;modrzew europejski;"Larix decidua ""Fastigiata""";;663;SO;1;3;SO3;#D68640
LAR.EU.FA;modrzew europejski;"Larix decidua ""Fastigiata""";;663;SO;1;4;SO4;#D68640
LAR.EU.GL;modrzew europejski;"Larix decidua ""Glauca""";;664;SO;1;1;SO1;#DEB887
LAR.EU.GL;modrzew europejski;"Larix decidua ""Glauca""";;664;SO;1;2;SO2;#DC9F63
LAR.EU.GL;modrzew europejski;"Larix decidua ""Glauca""";;664;SO;1;3;SO3;#D68640
LAR.EU.GL;modrzew europejski;"Larix decidua ""Glauca""";;664;SO;1;4;SO4;#D68640
LAR.EU.PE;modrzew europejski;"Larix decidua ""Pendula""";;665;SO;1;1;SO1;#DEB887
LAR.EU.PE;modrzew europejski;"Larix decidua ""Pendula""";;665;SO;1;2;SO2;#DC9F63
LAR.EU.PE;modrzew europejski;"Larix decidua ""Pendula""";;665;SO;1;3;SO3;#D68640
LAR.EU.PE;modrzew europejski;"Larix decidua ""Pendula""";;665;SO;1;4;SO4;#D68640
MD.P;modrzew europejski;Larix decidua polonica;;735;SO;1;1;SO1;#DEB887
MD.P;modrzew europejski;Larix decidua polonica;;735;SO;1;2;SO2;#DC9F63
MD.P;modrzew europejski;Larix decidua polonica;;735;SO;1;3;SO3;#D68640
MD.P;modrzew europejski;Larix decidua polonica;;735;SO;1;4;SO4;#D68640
LEU.EU.SU;modrzew europejski;Larix decidua sudetica;;673;SO;1;1;SO1;#DEB887
LEU.EU.SU;modrzew europejski;Larix decidua sudetica;;673;SO;1;2;SO2;#DC9F63
