X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
312;JD.BO;40600;jodła Bornmullera;Abies bornmuelleriana;D;jodła;;JD;JD;NA;I;NA;583;JD;JD;;NA;30;35;4;JD;JD;JD;JD
313;JD.D;41100;jodła Delavaya;Abies delavayi;D;jodła;;JD;JD;NA;I;NA;584;JD;JD;;NA;30;35;4;JD;JD;JD;JD
314;JD.F;41400;jodła Frasera;Abies fraseri;D;jodła;;JD;JD;NA;I;NA;585;JD;JD;;NA;30;35;4;JD;JD;JD;JD
315;JD.G;41900;jodła górska;Abies lasiocarpa;D;jodła;;JD;JD;NA;I;NA;586;JD;JD;;NA;30;35;4;JD;JD;JD;JD
316;JD.GK;41901;jodła górska;Abies lasiocarpa ssp.arizonica;D;jodła;odm.korkowa;JD;JD;NA;I;NA;587;JD;JD;;NA;30;35;4;JD;JD;JD;JD
317;JD.GR;40800;jodła grecka;Abies cephalonica;D;jodła;;JD;JD;NA;I;NA;588;JD;JD;;NA;30;35;4;JD;JD;JD;JD
318;JD.H;42700;jodła hiszpańska;Abies pinsapo;D;jodła;;JD;JD;NA;I;NA;589;JD;JD;;NA;30;35;4;JD;JD;JD;JD
319;JD.J;41000;jodła jednobarwna;Abies concolor;D;jodła;;JD;JD;NA;I;NA;590;JD;JD;;NA;30;35;4;JD;JD;JD;JD
320;JD.JP;41300;jodła japońska;Abies firma;D;jodła;;JD;JD;NA;I;NA;591;JD;JD;;NA;30;35;4;JD;JD;JD;JD
321;JD.K;41800;jodła koreańska;Abies koreana;D;jodła;;JD;JD;NA;I;NA;592;JD;JD;;NA;30;35;4;JD;JD;JD;JD
322;JD.KS;42400;jodła kaukaska;Abies nordmanniana;D;jodła;;JD;JD;NA;I;NA;593;JD;JD;;NA;30;35;4;JD;JD;JD;JD
323;JD.M;41600;jodła mandżurska;Abies holophylla;D;jodła;;JD;JD;NA;I;NA;594;JD;JD;;NA;30;35;4;JD;JD;JD;JD
324;JD.MS;42100;jodła marokańska;Abies marocana;D;jodła;;JD;JD;NA;I;NA;595;JD;JD;;NA;30;35;4;JD;JD;JD;JD
325;JD.N;40700;jodła nadobna;Abies bracteata;D;jodła;;JD;JD;NA;I;NA;596;JD;JD;;NA;30;35;4;JD;JD;JD;JD
